target,timestamp,date,regime,final_signal, 3d_signal , 5d_signal , 10d_signal , 20d_signal , 3d_confidence , 5d_confidence , 10d_confidence , 20d_confidence , open_price , close_price 
JPM,2025/1/15 20:50,2024/7/1,Medium_Up,0, (0.09), (0.11), (0.58), 0.22 , 0.48 , 0.43 , 0.42 , 0.44 , 202.84 , 205.45 
JPM,2025/1/15 20:50,2024/7/2,High_Up,0, 0.55 , 0.64 , (0.87), 0.52 , 0.36 , 0.27 , 0.33 , 0.22 , 205.29 , 208.83 
JPM,2025/1/15 20:50,2024/7/3,Medium_Up,0, 0.34 , 0.56 , (0.91), 0.15 , 0.48 , 0.43 , 0.42 , 0.44 , 209.55 , 208.69 
JPM,2025/1/15 20:50,2024/7/5,High_Up,0, (0.23), (0.42), (0.84), (0.79), 0.36 , 0.27 , 0.33 , 0.22 , 206.99 , 204.79 
JPM,2025/1/15 20:50,2024/7/8,High_Up,0, (0.39), (0.62), (0.75), (0.62), 0.36 , 0.27 , 0.33 , 0.22 , 205.04 , 205.17 
JPM,2025/1/15 20:50,2024/7/9,Medium_Up,-1, (0.02), (0.51), (0.91), (0.50), 0.48 , 0.43 , 0.42 , 0.44 , 205.63 , 207.63 
JPM,2025/1/15 20:50,2024/7/10,Medium_Up,0, 0.72 , 0.59 , (0.65), 0.46 , 0.48 , 0.43 , 0.42 , 0.44 , 206.14 , 207.80 
JPM,2025/1/15 20:50,2024/7/11,Low_Up,1, 0.98 , 0.99 , 0.35 , 0.95 , 0.70 , 0.69 , 0.26 , 1.00 , 206.21 , 207.45 
JPM,2025/1/15 20:50,2024/7/12,Low_Up,1, 0.99 , 1.00 , 0.86 , 0.94 , 0.70 , 0.69 , 0.26 , 1.00 , 204.00 , 204.94 
JPM,2025/1/15 20:50,2024/7/15,Medium_Up,1, 1.00 , 1.00 , 0.43 , 0.99 , 0.48 , 0.43 , 0.42 , 0.44 , 207.19 , 210.05 
JPM,2025/1/15 20:50,2024/7/16,Medium_Up,1, 1.00 , 1.00 , 0.98 , 1.00 , 0.48 , 0.43 , 0.42 , 0.44 , 210.00 , 213.62 
JPM,2025/1/15 20:50,2024/7/17,Medium_Up,1, 1.00 , 1.00 , 0.97 , 1.00 , 0.48 , 0.43 , 0.42 , 0.44 , 213.80 , 216.87 
JPM,2025/1/15 20:50,2024/7/18,High_Up,1, 0.97 , 0.99 , 0.92 , 1.00 , 0.36 , 0.27 , 0.33 , 0.22 , 215.63 , 209.98 
JPM,2025/1/15 20:50,2024/7/19,High_Up,1, 0.67 , 0.84 , 0.97 , 1.00 , 0.36 , 0.27 , 0.33 , 0.22 , 211.20 , 209.78 
JPM,2025/1/15 20:50,2024/7/22,Medium_Up,1, 0.77 , 0.87 , 0.99 , 1.00 , 0.48 , 0.43 , 0.42 , 0.44 , 210.46 , 210.28 
JPM,2025/1/15 20:50,2024/7/23,Medium_Up,1, 0.77 , 0.71 , 0.94 , 1.00 , 0.48 , 0.43 , 0.42 , 0.44 , 211.02 , 210.33 
JPM,2025/1/15 20:50,2024/7/24,Medium_Up,1, 0.44 , 0.15 , 0.42 , 0.99 , 0.48 , 0.43 , 0.42 , 0.44 , 209.55 , 208.59 
JPM,2025/1/15 20:50,2024/7/25,Medium_Up,1, 0.74 , 0.71 , (0.31), 1.00 , 0.48 , 0.43 , 0.42 , 0.44 , 208.65 , 208.67 
JPM,2025/1/15 20:50,2024/7/26,High_Up,1, 0.97 , 0.99 , 0.28 , 1.00 , 0.36 , 0.27 , 0.33 , 0.22 , 209.24 , 212.24 
JPM,2025/1/15 20:50,2024/7/29,Medium_Up,1, 0.93 , 0.95 , (0.46), 1.00 , 0.48 , 0.43 , 0.42 , 0.44 , 212.65 , 210.85 
